"가정별","인구구조,부양비별",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","총인구(명)",42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117,51558034,51500029,51447504,51397309,51348388,51300095,51250905,51199019,51142848,51082971,51018619,50947857,50868691,50774771,50660209,50524704,50368731,50193281,49998451,49784159,49551362,49300187,49029906,48739019,48426874,48093212,47737283,47358532,46957061,46534046,46090617,45628975,45151722,44660957,44159136,43649074,43134131,42617053,42099995,41585534,41074913,40569298,40069340,39574865,39085966,38602940,38126347,37655867
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자(명)",21568181,21783914,22013655,22242554,22472496,22705329,22924512,23148092,23295727,23457837,23666769,23854971,23991377,24120872,24210740,24243234,24369561,24491190,24671648,24774341,24881114,25069867,25187380,25285319,25445077,25585894,25670949,25736793,25857689,25948706,25925697,25857805,25790370,25749708,25714669,25682920,25652688,25623449,25594665,25565335,25534271,25500682,25465537,25428194,25387227,25341396,25287787,25223712,25148717,25062989,24967438,24862101,24747027,24623212,24490787,24349262,24198149,24037198,23866435,23685828,23495017,23293951,23083114,22863378,22635845,22401355,22161137,21916651,21668900,21419386,21169626,20920520,20673019,20427643,20184891,19944832,19707593,19473353,19242034,19013814,18788054
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자(명)",21301102,21511790,21734307,21952074,22169044,22387662,22600169,22805488,22990776,23158840,23341342,23515193,23653359,23771458,23871779,23941327,24068731,24192448,24383060,24533494,24672998,24866771,25012473,25143574,25301582,25429053,25546854,25625118,25727369,25816116,25910542,25887071,25837747,25808326,25785360,25764584,25744621,25724939,25705430,25685570,25664748,25642166,25617434,25590425,25560630,25527295,25486984,25436497,25375987,25305742,25225843,25136350,25037132,24928150,24809400,24680644,24540870,24389676,24226777,24051455,23863515,23663110,23450932,23227239,22993130,22750367,22499820,22242485,21980174,21714745,21447427,21179475,20912515,20647270,20384407,20124508,19867272,19612613,19360906,19112533,18867813
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","성비(여자1백명당)",101.3,101.3,101.3,101.3,101.4,101.4,101.4,101.5,101.3,101.3,101.4,101.4,101.4,101.5,101.4,101.3,101.2,101.2,101.2,101.0,100.8,100.8,100.7,100.6,100.6,100.6,100.5,100.4,100.5,100.5,100.1,99.9,99.8,99.8,99.7,99.7,99.6,99.6,99.6,99.5,99.5,99.4,99.4,99.4,99.3,99.3,99.2,99.2,99.1,99.0,99.0,98.9,98.8,98.8,98.7,98.7,98.6,98.6,98.5,98.5,98.5,98.4,98.4,98.4,98.4,98.5,98.5,98.5,98.6,98.6,98.7,98.8,98.9,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","인구성장률",0.99,0.99,1.04,1.02,1.01,1.01,0.95,0.94,0.72,0.71,0.84,0.77,0.58,0.52,0.40,0.21,0.53,0.51,0.76,0.51,0.50,0.77,0.53,0.46,0.63,0.53,0.40,0.28,0.43,0.35,0.14,-0.18,-0.23,-0.14,-0.11,-0.10,-0.10,-0.10,-0.09,-0.10,-0.10,-0.11,-0.12,-0.13,-0.14,-0.16,-0.18,-0.23,-0.27,-0.31,-0.35,-0.39,-0.43,-0.47,-0.51,-0.55,-0.60,-0.64,-0.69,-0.74,-0.80,-0.85,-0.90,-0.96,-1.01,-1.05,-1.09,-1.13,-1.16,-1.19,-1.21,-1.22,-1.23,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","인구(명): 0-14세",10973592,10858720,10791426,10734528,10653446,10536828,10403277,10233102,10091517,9972894,9911229,9852452,9732348,9584906,9430513,9223260,8979585,8714382,8478823,8229264,7979439,7771460,7577231,7392237,7213693,7029883,6864563,6724283,6595054,6448080,6305870,6143634,5934472,5686017,5462580,5252258,5020301,4810732,4623091,4474872,4329353,4205379,4132442,4103438,4106571,4141816,4193021,4248102,4308309,4372023,4427467,4464280,4484052,4488212,4478097,4454853,4419381,4372351,4314222,4245256,4165590,4080706,3995647,3909699,3822313,3733151,3642164,3549710,3456621,3364168,3273988,3187975,3108052,3036007,2973310,2920999,2879601,2849110,2828990,2818199,2815279
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","인구(명): 15-64세",29700607,30170543,30610680,31023107,31445602,31899511,32326522,32791167,33125933,33420207,33701986,33946787,34155443,34367560,34521703,34640514,34932893,35208580,35587293,35901685,36208564,36649999,36855893,37013997,37255840,37443896,37596157,37571568,37623919,37627748,37378502,37029895,36675233,36372084,36029123,35609992,35179627,34867157,34477274,34179583,33813340,33442974,33040470,32577124,31998620,31437760,30824374,30234798,29636052,29043691,28520944,28051044,27610404,27172521,26735583,26239634,25749434,25264415,24839285,24486487,24189053,23886842,23593453,23302050,22988840,22653243,22304305,21894799,21475161,21065287,20660407,20249643,19855143,19471587,19115992,18745882,18392086,18113436,17862144,17603904,17367650
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","인구(명): 65세 이상",2195084,2266441,2345856,2436993,2542492,2656652,2794882,2929311,3069053,3223576,3394896,3570925,3756945,3939864,4130303,4320787,4525814,4760676,4988592,5176886,5366109,5515179,5766729,6022659,6277126,6541168,6757083,7066060,7366085,7688994,8151867,8571347,9018412,9499933,10008326,10585254,11197381,11670499,12199730,12596450,13056326,13494495,13910059,14338057,14842666,15289115,15757376,16177309,16580343,16953017,17244870,17483127,17689703,17890629,18086507,18335419,18570204,18790108,18939705,19005540,19003889,18989513,18944946,18878868,18817822,18765328,18714488,18714627,18717292,18704676,18682658,18662377,18622339,18567319,18479996,18402459,18303178,18123420,17911806,17704244,17472938
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","- 구성비(%): 0-14세",25.6,25.1,24.7,24.3,23.9,23.4,22.9,22.3,21.8,21.4,21.1,20.8,20.4,20.0,19.6,19.1,18.5,17.9,17.3,16.7,16.1,15.6,15.1,14.7,14.2,13.8,13.4,13.1,12.8,12.5,12.2,11.9,11.5,11.0,10.6,10.2,9.8,9.4,9.0,8.7,8.5,8.2,8.1,8.0,8.1,8.1,8.3,8.4,8.5,8.7,8.8,8.9,9.0,9.1,9.1,9.1,9.1,9.0,9.0,8.9,8.8,8.7,8.6,8.5,8.4,8.3,8.2,8.0,7.9,7.8,7.7,7.6,7.5,7.4,7.3,7.3,7.3,7.3,7.3,7.4,7.5
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","- 구성비(%): 15-64세",69.3,69.7,70.0,70.2,70.4,70.7,71.0,71.4,71.6,71.7,71.7,71.7,71.7,71.8,71.8,71.9,72.1,72.3,72.5,72.8,73.1,73.4,73.4,73.4,73.4,73.4,73.4,73.2,72.9,72.7,72.1,71.6,71.0,70.5,70.0,69.2,68.4,67.9,67.2,66.7,66.0,65.4,64.7,63.9,62.8,61.8,60.7,59.7,58.7,57.7,56.8,56.1,55.5,54.8,54.2,53.5,52.8,52.2,51.6,51.3,51.1,50.9,50.7,50.6,50.4,50.2,49.9,49.6,49.2,48.8,48.5,48.1,47.7,47.4,47.1,46.8,46.5,46.3,46.3,46.2,46.1
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","- 구성비(%): 65세 이상",5.1,5.2,5.4,5.5,5.7,5.9,6.1,6.4,6.6,6.9,7.2,7.5,7.9,8.2,8.6,9.0,9.3,9.8,10.2,10.5,10.8,11.0,11.5,11.9,12.4,12.8,13.2,13.8,14.3,14.9,15.7,16.6,17.5,18.4,19.4,20.6,21.8,22.7,23.8,24.6,25.5,26.4,27.2,28.1,29.1,30.1,31.0,31.9,32.8,33.7,34.4,35.0,35.5,36.1,36.7,37.4,38.1,38.8,39.4,39.8,40.1,40.4,40.7,41.0,41.2,41.6,41.9,42.4,42.9,43.4,43.8,44.3,44.8,45.2,45.6,45.9,46.2,46.4,46.4,46.4,46.4
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","총부양비",44.3,43.5,42.9,42.5,42.0,41.4,40.8,40.1,39.7,39.5,39.5,39.5,39.5,39.4,39.3,39.1,38.7,38.3,37.8,37.3,36.9,36.3,36.2,36.2,36.2,36.2,36.2,36.7,37.1,37.6,38.7,39.7,40.8,41.8,42.9,44.5,46.1,47.3,48.8,49.9,51.4,52.9,54.6,56.6,59.2,61.8,64.7,67.6,70.5,73.4,76.0,78.2,80.3,82.4,84.4,86.9,89.3,91.7,93.6,95.0,95.8,96.6,97.2,97.8,98.5,99.3,100.2,101.7,103.3,104.8,106.3,107.9,109.4,110.9,112.2,113.8,115.2,115.8,116.1,116.6,116.8
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","유소년부양비",36.9,36.0,35.3,34.6,33.9,33.0,32.2,31.2,30.5,29.8,29.4,29.0,28.5,27.9,27.3,26.6,25.7,24.8,23.8,22.9,22.0,21.2,20.6,20.0,19.4,18.8,18.3,17.9,17.5,17.1,16.9,16.6,16.2,15.6,15.2,14.7,14.3,13.8,13.4,13.1,12.8,12.6,12.5,12.6,12.8,13.2,13.6,14.1,14.5,15.1,15.5,15.9,16.2,16.5,16.7,17.0,17.2,17.3,17.4,17.3,17.2,17.1,16.9,16.8,16.6,16.5,16.3,16.2,16.1,16.0,15.8,15.7,15.7,15.6,15.6,15.6,15.7,15.7,15.8,16.0,16.2
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","노년부양비",7.4,7.5,7.7,7.9,8.1,8.3,8.6,8.9,9.3,9.6,10.1,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.4,14.8,15.0,15.6,16.3,16.8,17.5,18.0,18.8,19.6,20.4,21.8,23.1,24.6,26.1,27.8,29.7,31.8,33.5,35.4,36.9,38.6,40.4,42.1,44.0,46.4,48.6,51.1,53.5,55.9,58.4,60.5,62.3,64.1,65.8,67.6,69.9,72.1,74.4,76.2,77.6,78.6,79.5,80.3,81.0,81.9,82.8,83.9,85.5,87.2,88.8,90.4,92.2,93.8,95.4,96.7,98.2,99.5,100.1,100.3,100.6,100.6
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","노령화지수",20.0,20.9,21.7,22.7,23.9,25.2,26.9,28.6,30.4,32.3,34.3,36.2,38.6,41.1,43.8,46.8,50.4,54.6,58.8,62.9,67.2,71.0,76.1,81.5,87.0,93.0,98.4,105.1,111.7,119.2,129.3,139.5,152.0,167.1,183.2,201.5,223.0,242.6,263.9,281.5,301.6,320.9,336.6,349.4,361.4,369.1,375.8,380.8,384.8,387.8,389.5,391.6,394.5,398.6,403.9,411.6,420.2,429.7,439.0,447.7,456.2,465.3,474.1,482.9,492.3,502.7,513.8,527.2,541.5,556.0,570.6,585.4,599.2,611.6,621.5,630.0,635.6,636.1,633.2,628.2,620.6
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","중위연령(세)",27.0,27.5,27.9,28.4,28.8,29.3,29.8,30.3,30.7,31.2,31.8,32.3,32.9,33.5,34.1,34.8,35.4,36.1,36.7,37.3,37.9,38.5,39.1,39.7,40.3,40.9,41.4,42.0,42.6,43.1,43.7,44.3,45.0,45.6,46.3,46.9,47.5,48.0,48.6,49.2,49.8,50.4,50.9,51.5,52.0,52.5,53.0,53.4,53.8,54.2,54.6,55.0,55.3,55.6,55.9,56.3,56.6,56.9,57.2,57.5,57.9,58.3,58.6,59.0,59.3,59.6,60.0,60.3,60.6,60.9,61.2,61.4,61.7,61.9,62.0,62.1,62.1,62.1,62.1,62.1,62.2
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","중위연령(세)-남자",26.3,26.7,27.1,27.6,28.0,28.4,28.9,29.4,29.8,30.3,30.8,31.4,32.0,32.6,33.2,33.8,34.4,35.1,35.7,36.3,36.9,37.5,38.0,38.5,39.1,39.6,40.1,40.7,41.2,41.7,42.3,43.0,43.6,44.2,44.9,45.5,46.1,46.7,47.3,47.9,48.5,49.0,49.6,50.1,50.5,51.0,51.4,51.8,52.2,52.5,52.9,53.2,53.6,53.9,54.3,54.6,55.0,55.4,55.8,56.2,56.5,56.9,57.3,57.7,58.0,58.4,58.7,59.0,59.3,59.6,59.9,60.2,60.4,60.5,60.6,60.7,60.8,60.8,60.9,61.0,61.0
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","중위연령(세)-여자",27.7,28.2,28.7,29.2,29.7,30.2,30.7,31.2,31.7,32.2,32.7,33.3,33.9,34.5,35.1,35.8,36.5,37.1,37.8,38.4,39.0,39.6,40.2,40.8,41.5,42.1,42.7,43.3,43.9,44.5,45.1,45.8,46.5,47.1,47.7,48.4,48.9,49.5,50.1,50.6,51.2,51.7,52.3,52.9,53.4,53.9,54.4,55.0,55.5,55.9,56.3,56.7,57.1,57.4,57.8,58.1,58.4,58.6,58.9,59.2,59.5,59.7,60.1,60.4,60.7,61.0,61.3,61.6,61.9,62.2,62.4,62.7,62.9,63.1,63.3,63.5,63.5,63.5,63.5,63.4,63.4
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","평균연령(세)",29.5,29.8,30.2,30.5,30.8,31.2,31.5,31.9,32.3,32.7,33.1,33.5,34.0,34.5,34.9,35.5,36.0,36.5,37.0,37.4,37.9,38.4,38.8,39.3,39.7,40.2,40.7,41.2,41.7,42.2,42.7,43.3,43.9,44.5,45.1,45.6,46.2,46.7,47.2,47.6,48.1,48.5,48.9,49.3,49.7,50.1,50.5,50.8,51.2,51.5,51.9,52.2,52.6,52.9,53.2,53.5,53.8,54.0,54.3,54.5,54.8,55.0,55.2,55.4,55.6,55.8,56.0,56.2,56.4,56.5,56.7,56.8,57.0,57.1,57.2,57.3,57.3,57.4,57.4,57.5,57.5
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","평균연령(세)-남자",28.5,28.8,29.1,29.4,29.7,30.1,30.4,30.8,31.1,31.5,31.9,32.3,32.8,33.3,33.8,34.3,34.8,35.3,35.8,36.3,36.7,37.2,37.6,38.1,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.1,42.7,43.3,43.9,44.4,45.0,45.5,46.0,46.4,46.9,47.3,47.7,48.1,48.5,48.9,49.2,49.6,50.0,50.3,50.7,51.0,51.3,51.6,51.9,52.2,52.5,52.7,53.0,53.2,53.4,53.7,53.9,54.1,54.3,54.5,54.7,54.9,55.1,55.2,55.4,55.6,55.7,55.8,55.9,56.0,56.1,56.2,56.3,56.3,56.4
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","평균연령(세)-여자",30.5,30.9,31.3,31.6,32.0,32.3,32.7,33.1,33.4,33.8,34.3,34.7,35.2,35.6,36.1,36.6,37.2,37.7,38.1,38.6,39.1,39.6,40.0,40.5,40.9,41.4,41.9,42.4,42.9,43.4,43.9,44.5,45.1,45.7,46.3,46.8,47.4,47.9,48.4,48.8,49.3,49.7,50.1,50.5,50.9,51.3,51.7,52.0,52.4,52.8,53.1,53.5,53.8,54.1,54.4,54.7,55.0,55.3,55.6,55.8,56.1,56.3,56.5,56.7,56.9,57.1,57.3,57.5,57.7,57.8,58.0,58.1,58.2,58.3,58.4,58.5,58.5,58.6,58.6,58.6,58.6
